;DR 1+;DR 1-;DR 2+;DR 2-;DR 3+;DR 3-;DR 4+;DR 4-;DR 5+;DR 5-;DR 6+;DR 6-;DR 7+;DR 7-;DR 8+;DR 8-;DR 9+;DR 9-;DR 10+;DR 10-;DR 11+;DR 11-;DR 20+
CTSO;0.009625029;1.2192037;0.00017795239;0.19236843;0.15987174;0.0009095069;0.009133997;0.115924;0.02383738;0.0052006897;0.19378719;0.0051496164;2.54887e-05;0.060377397;4.2688676e-05;0.10830668;0.00051743933;0.003004423;1.95401e-05;0.18147661;3.9447223e-05;0.075789064;0.0034982362
CTSZ;0.010337194;0.535131;0.0008850214;0.2174942;0.23851326;0.00026179763;3.2280823e-05;4.2502165;0.009352552;0.008721807;0.17040281;0.1139615;0.00090021314;0.0027211832;0.0001802327;0.007481018;2.2827944e-05;0.060472056;5.593883e-06;0.18761553;8.089331e-06;0.1510378;0.0042651948
CTXN1;0.0088612;0.029197996;0.0013459404;0.007898815;0.0077430983;0.0042748693;0.005172142;0.0022799924;1.4463593e-05;10.395034;0.015369285;0.004066125;8.611298e-05;0.0044060806;0.00011121828;0.012445753;0.00082324;7.746106e-05;1.0773273e-05;0.015985236;2.9108312e-06;0.01816917;0.018634474
CTXND2;0.0019199528;0.006585016;0.00061541557;0.012659727;0.0070025884;0.0014511311;0.0009488856;0.0032195887;4.8759753e-06;6.5708485;0.018777259;0.00012764495;6.34047e-05;0.002285249;7.763917e-06;0.002697989;2.5617946e-05;0.00014774932;1.7965588e-06;0.2323629;3.2343519e-06;0.0053761355;0.003139839
CX3CL1;0.017762128;0.081984095;0.00010071608;0.032086965;0.052921917;0.00019813288;0.0044787694;0.0009949617;1.488609e-06;8.388876;5.7412213e-05;0.010027734;0.00015817294;0.0006299855;0.00027346855;0.003781403;0.0027065882;2.6308637e-05;0.00021371829;0.00012165174;9.6945804e-08;0.3391406;0.009238814
CXCL12;5.9157992e-05;0.28253108;0.0080525605;0.04181059;0.011083128;0.011088464;0.0005189809;0.39657348;0.002430725;0.08210311;0.11943111;0.002735615;0.00013716244;0.006254224;3.2300072e-06;0.0933484;0.0013542243;0.0004547482;2.9464868e-06;0.121236704;4.2656475e-07;3.732205;9.735764e-05
CXCL13;0.016032;0.008081125;0.033469222;0.0517121;0.0047182925;0.09301682;2.8665187e-05;0.21375795;0.032266285;0.0008487838;0.16734092;0.0035068095;0.0021858057;0.005745807;3.13485e-05;0.11531605;8.8757624e-05;0.00021634392;1.2297996e-05;0.10296465;2.620008e-05;0.00042183706;7.839941e-05
CXCL14;2.0155053e-11;6.123117;7.891384e-08;0.36576587;0.15081488;7.891538e-06;2.4999525e-07;0.6670736;2.728206e-07;0.01610439;0.4001545;0.019887686;1.8311106e-05;0.0014267872;1.5928521e-05;9.9300865e-05;2.561423e-07;0.023524879;2.1850354e-07;0.18237652;0.000117672535;4.1715757e-05;0.0230859
CXCL5;0.061877105;0.078367084;0.00011932255;0.036168687;0.020051427;0.014529993;0.02988175;0.9908243;0.02463856;0.00014463939;0.00379053;0.00014344745;3.21464e-05;0.032826543;7.0344206e-05;0.0054060826;0.00038300554;0.00069826155;8.7891494e-05;0.0027448954;0.0004652948;0.000579228;4.564326
CXCL8;0.0025956137;0.043158922;0.0010122843;0.017909298;0.12821996;5.4479415e-06;6.1992037e-06;0.5306484;0.00046067723;0.043774538;0.0017791089;0.00032762953;0.00082067813;0.0005294619;0.00016117554;0.0003191554;0.0003388238;4.2183765e-05;1.0346931e-05;0.012898309;8.029581e-05;0.00028332285;9.051929
CXCR4;0.00089052186;0.2262798;0.027255716;0.008886362;0.0005452253;0.02333397;3.8150665e-05;0.66711295;0.007899573;0.066476546;0.2294422;0.0076453304;0.00019885247;0.0020715562;8.720494e-06;0.12954685;0.00017329965;0.0002674442;1.0220413e-05;1.0265131;6.3825664e-06;0.19839308;0.0013976631
CXorf51B;0.011902616;0.18242191;0.011140132;0.14323533;0.11817731;0.0026868007;0.026854387;0.048736896;0.008359888;0.41239244;0.22752024;0.027745552;0.0012565723;0.03704491;3.230064e-05;0.01695495;2.2009921e-05;0.05498772;5.2794267e-06;0.17917918;8.833064e-05;0.038532015;0.0022746134
CYBB;0.004136916;0.03126578;0.0024302024;0.0045175618;0.0008861836;0.002197672;3.1797958e-06;9.654833;0.0011158196;0.04681896;0.053773183;0.0011653375;0.00012923461;0.0013149843;1.9554e-05;0.0015686892;1.8835151e-05;0.00038247605;4.8893975e-07;0.10989304;3.0248515e-05;0.0028229826;0.00075370015
